[2016-11-18 09:01:31.947]		推广：__fan.test.lacues.cn____
[2016-11-18 09:01:54.777]		推广：__fan.test.lacues.cn____
[2016-11-18 09:07:17.842]		推广：__fan.test.lacues.cn____
[2016-11-18 09:23:09.758]		推广：__fan.test.lacues.cn____
[2016-11-18 09:29:22.803]		推广：__fan.test.lacues.cn____
[2016-11-18 09:30:46.956]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100267__fan.test.lacues.cn____
[2016-11-18 09:30:51.379]		推广：http://fan.test.lacues.cn/order/OrderConfirm.html?t=0.20986019214615226__fan.test.lacues.cn____
[2016-11-18 09:32:09.256]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.6364742796868086__fan.test.lacues.cn____
[2016-11-18 09:42:20.748]		推广：__fan.test.lacues.cn____
[2016-11-18 09:42:31.902]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100267__fan.test.lacues.cn____
[2016-11-18 09:42:34.196]		推广：http://fan.test.lacues.cn/index.html__fan.test.lacues.cn____
[2016-11-18 09:42:35.990]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5766599792987108__fan.test.lacues.cn____
[2016-11-18 09:42:52.885]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DSH__fan.test.lacues.cn____
[2016-11-18 09:42:54.461]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1242103__fan.test.lacues.cn____
[2016-11-18 09:42:57.316]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DSH__fan.test.lacues.cn____
[2016-11-18 09:43:01.044]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1475103__fan.test.lacues.cn____
[2016-11-18 09:43:03.732]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DSH__fan.test.lacues.cn____
[2016-11-18 09:43:06.602]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=DD1475103__fan.test.lacues.cn____
[2016-11-18 09:43:13.872]		推广：http://fan.test.lacues.cn/Account/MyOrder_List.html?paytype=DSH__fan.test.lacues.cn____
[2016-11-18 09:43:24.008]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5766599792987108__fan.test.lacues.cn____
[2016-11-18 10:00:59.421]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161011100001__fan.test.lacues.cn____
[2016-11-18 10:01:07.683]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161011100001__fan.test.lacues.cn____
[2016-11-18 10:01:31.302]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161117100001__fan.test.lacues.cn____
[2016-11-18 10:02:04.455]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=8016465488__fan.test.lacues.cn____
[2016-11-18 10:02:46.902]		推广：http://test-dlq.ycp8.cn/cdlq/web/template/template.html?pNum=PNM161117100001__fan.test.lacues.cn____
[2016-11-18 10:12:22.277]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5766599792987108__fan.test.lacues.cn____
[2016-11-18 10:12:23.803]		推广：http://fan.test.lacues.cn/Account/MyTKSH_List.html?paytype=TKSH__fan.test.lacues.cn____
[2016-11-18 10:12:24.987]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5766599792987108__fan.test.lacues.cn____
[2016-11-18 10:12:26.835]		推广：http://fan.test.lacues.cn/Account/login.html?t=0.043752238154411316__fan.test.lacues.cn____
[2016-11-18 10:12:34.244]		推广：http://fan.test.lacues.cn/index.html__fan.test.lacues.cn____
[2016-11-18 10:12:36.740]		推广：http://fan.test.lacues.cn/Product_List.html?keyword=测试__fan.test.lacues.cn____
[2016-11-18 10:12:41.285]		推广：http://fan.test.lacues.cn/Product_Detail.html?pid=58016100267__fan.test.lacues.cn____
[2016-11-18 10:41:48.109]		推广：__fan.test.lacues.cn____
[2016-11-18 10:42:41.579]		推广：__fan.test.lacues.cn____
[2016-11-18 10:54:43.914]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 10:54:46.194]		推广：http://fan.test.lacues.cn/Search.html?t=0.0257650611880621__fan.test.lacues.cn____
[2016-11-18 10:54:51.273]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 11:09:31.268]		推广：__fan.test.lacues.cn____
[2016-11-18 11:09:34.150]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 11:09:35.912]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5230148960836232__fan.test.lacues.cn____
[2016-11-18 11:09:41.442]		推广：http://fan.test.lacues.cn/Product_List.html?showtype=__fan.test.lacues.cn____
[2016-11-18 11:09:56.594]		推广：__fan.test.lacues.cn____
[2016-11-18 11:10:03.703]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 11:10:05.689]		推广：__fan.test.lacues.cn____
[2016-11-18 11:10:09.766]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 11:10:12.297]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.5902312418911606__fan.test.lacues.cn____
[2016-11-18 11:10:18.689]		推广：__fan.test.lacues.cn____
[2016-11-18 11:10:50.699]		推广：http://fan.test.lacues.cn/order/MyOrder_pay.html?order_code=OS1442103__fan.test.lacues.cn____
[2016-11-18 11:11:01.220]		推广：__fan.test.lacues.cn____
[2016-11-18 11:11:18.290]		推广：http://test.pay.lacues.cn/createorder/?c_order=OS1442103__fan.test.lacues.cn____
[2016-11-18 11:11:44.922]		推广：__fan.test.lacues.cn____
[2016-11-18 11:11:54.745]		推广：http://fan.test.lacues.cn/Order/OrderSuccess.html?orderid=OS1442103__fan.test.lacues.cn____
[2016-11-18 11:11:57.659]		推广：http://fan.test.lacues.cn/Account/MyOrder_detail.html?order_code=__fan.test.lacues.cn____
[2016-11-18 11:12:25.633]		推广：__fan.test.lacues.cn____
[2016-11-18 11:13:02.128]		推广：__fan.test.lacues.cn____
[2016-11-18 11:14:04.230]		推广：__fan.test.lacues.cn____
[2016-11-18 11:14:04.854]		推广：__fan.test.lacues.cn____
[2016-11-18 11:14:45.399]		推广：__fan.test.lacues.cn____
[2016-11-18 11:14:45.867]		推广：__fan.test.lacues.cn____
[2016-11-18 11:15:15.780]		推广：__fan.test.lacues.cn____
[2016-11-18 11:15:19.644]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 11:15:22.011]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.8657317084725946__fan.test.lacues.cn____
[2016-11-18 11:15:37.612]		推广：__fan.test.lacues.cn____
[2016-11-18 11:16:09.906]		推广：__fan.test.lacues.cn____
[2016-11-18 11:16:47.053]		推广：http://fan.test.lacues.cn/__fan.test.lacues.cn____
[2016-11-18 11:16:49.478]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.662790943402797__fan.test.lacues.cn____
[2016-11-18 11:16:50.700]		推广：__fan.test.lacues.cn____
[2016-11-18 11:16:53.433]		推广：__fan.test.lacues.cn____
[2016-11-18 11:16:56.532]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.662790943402797__fan.test.lacues.cn____
[2016-11-18 11:17:02.176]		推广：__fan.test.lacues.cn____
[2016-11-18 11:17:04.075]		推广：http://fan.test.lacues.cn/Account/index.html?t=0.662790943402797__fan.test.lacues.cn____
[2016-11-18 11:17:08.622]		推广：__fan.test.lacues.cn____
